;;;;Image 3;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;Image 6;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;;;;
;;;;Otsu;;;;;;0,0422978;;;;;0,105043;;;;;0,0104066;;;;;0,0269333;;;;;;;;Otsu;;;;;;0,270483;;;;;0,00657006;;;;;0,0228327;;;;;0,0916426;;;;;;;;;;;
;;;;K-means (k=2);;;;;;0,0422978;;;;;0,105043;;;;;0,0104066;;;;;0,0269333;;;;;;;;K-means (k=2);;;;;;0,270483;;;;;0,00657006;;;;;0,0228327;;;;;0,0916426;;;;;;;;;;;
;;;;EM-GMM (k=2);;;;;;0,042026;;;;;0,103124;;;;;0,0100784;;;;;0,0273395;;;;;;;;EM-GMM (k=2);;;;;;0;;;;;0,187883;;;;;0;;;;;0,133022;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Image;;;Seg State;;;;;Input;;;;;;;;;;;;;Final;;;;;;;;;;;;;;;;;;;;;;;;;;Calculated;;;;;;;;;;;;;;;;;
;;;;;;;;;u;;;a;;;l1;;;l0;;;;c0;;;;;c1;;;;;d = c1-c0;;;;;s0;;;;;s1;;;;;;pe;;;h;;;l1 UB;;;u LB;;;%d_pe;;;%d_h;;
o;1;;;Over;;;;;1;;;30;;;100;;;3000;;;;0,00917087;;;;;0,117209;;;;;0,10803813;;;;;0,0128455;;;;;0,0781478;;;;;;0,025850562;;;0,058085706;;;-608,8761903;;;-0,164237002;;;0,154387089;;;0,4527553;;
o;1;;;Ideal-Over;;;;;1;;;40;;;100;;;4000;;;;0,00690927;;;;;0,110953;;;;;0,10404373;;;;;0,00835448;;;;;0,0767322;;;;;;0,021114055;;;0,04935869;;;-656,5133918;;;-0,152319817;;;0,136527059;;;0,407995945;;
o;1;;;Ideal-Under;;;;;1;;;40;;;50;;;2000;;;;0,00680261;;;;;0,110618;;;;;0,10381539;;;;;0,00811538;;;;;0,0766803;;;;;;0,02097622;;;0,065664599;;;-657,5075138;;;-0,076044758;;;0,136527059;;;0,566987122;;
o;1;;;Over;;;;;1;;;40;;;150;;;6000;;;;0,00695349;;;;;0,111119;;;;;0,10416551;;;;;0,00843802;;;;;0,0767478;;;;;;0,021174901;;;0,042395609;;;-655,7351944;;;-0,228750876;;;0,136527059;;;0,340248121;;
o;1;;;Over;;;;;1;;;40;;;200;;;8000;;;;0,00709346;;;;;0,111541;;;;;0,10444754;;;;;0,00874822;;;;;0,0768208;;;;;;0,021353376;;;0,038508384;;;-654,7721278;;;-0,305449776;;;0,136527059;;;0,300772275;;
o;1;;;Over;;;;;1;;;45;;;150;;;6750;;;;0,00683153;;;;;0,110758;;;;;0,10392647;;;;;0,00815535;;;;;0,0766839;;;;;;0,020314109;;;0,040325663;;;-671,613769;;;-0,223342652;;;0,129731908;;;0,322286831;;
o;1;;;Under;;;;;1;;;50;;;150;;;7500;;;;0,00668058;;;;;0,110301;;;;;0,10362042;;;;;0,0078007;;;;;0,0766075;;;;;;0,019519082;;;0,038516371;;;-687,3238479;;;-0,218237735;;;0,123899343;;;0,307234726;;
k;1;;;Over;;;;;1;;;30;;;100;;;3000;;;;0,00955674;;;;;0,118306;;;;;0,10874926;;;;;0,0134853;;;;;0,0784127;;;;;;0,026346222;;;0,058499263;;;-606,6277463;;;-0,16484574;;;0,154387089;;;0,450049252;;
k;1;;;Over;;;;;1;;;40;;;100;;;4000;;;;0,00692784;;;;;0,111013;;;;;0,10408516;;;;;0,00839454;;;;;0,0767408;;;;;;0,021138281;;;0,049378711;;;-656,3215788;;;-0,152364334;;;0,136527059;;;0,407847485;;
k;1;;;Ideal-Under;;;;;1;;;40;;;50;;;2000;;;;0,0068178;;;;;0,110658;;;;;0,1038402;;;;;0,00815475;;;;;0,0766893;;;;;;0,020994797;;;0,065680254;;;-657,4710942;;;-0,076048971;;;0,136527059;;;0,566856132;;
